Opportunity,Product Line,Quote: Quote Number,Quote: Created Date,Quote Line: Line Name,Account Name,Account Type,Status,Approval Status,Quote: Owner Name,Payment Terms,Bill To Country,Ship To Country,Part Number,Lead Time (weeks),Quantity,Net Unit Price,Net Total,Regional Sales Manager,Sales Rep,CS Office,Channel,Approved Date,Business Unit,Distributor,Email DateTime Stamp,End Date,Expires On,Internal Notes,Line Item Count,OPNUM,Original Quote,PLM Approval Required,QTAT (Business Days),Quote Approved Date Time Stamp,QuoteNum,Quote Presented DateTimeStamp,Quote Submitted For Approval Date Time,Quote TAT Days,Quote Line: Last Modified Date,Quote Line: Created Date,Line Note,MOQ Tier,Quote Year,Qtr,Yr_Qtr
Synthetic Opportunity 02844,AMPLIFIERS,Q-402844,2/18/2025,QL-8002844,Synthetic Account 145,Customer,Presented,Not Required,Synthetic User 45,Net 30,,Japan,ADP11871,16 weeks,28,$199.24 ,"$5,578.72 ",Synthetic User 45,Synthetic User 45,Office 5,Distribution,45520,RF,,45553.67014,,45575,Synthetic note for record 02844,1282,OP270000391300,,No,1358,45652.78889,QN270000391395,45674.81528,45685.82847,,45707,45718,Synthetic note for record 02844,1529,1548,Synthetic Qtr 02844,Synthetic Yr_Qtr 02844
Synthetic Opportunity 04984,AMPLIFIERS,Q-404984,3/5/2026,QL-8004984,Synthetic Account 185,Prospect,Presented,Pending,Synthetic User 35,Prepaid,United States,Japan,ADP11871,12 weeks,3208,$199.24 ,"$639,161.92 ",Synthetic User 35,Synthetic User 35,Office 5,Distribution,45900,CS,,45933.26736,,45955,Synthetic note for record 04984,4462,OP270000684480,,,4538,46032.38611,QN270000684575,46054.4125,,4633,46087,46098,Synthetic note for record 04984,4709,4728,Synthetic Qtr 04984,Synthetic Yr_Qtr 04984
Synthetic Opportunity 05764,AMPLIFIERS,Q-405764,2/24/2024,QL-8005764,Synthetic Account 65,Prospect,Presented,Pending,Synthetic User 15,Prepaid,United States,Japan,ADP11871,8 weeks,68,$199.24 ,"$13,548.32 ",Synthetic User 15,Synthetic User 15,Office 5,Distribution,46160,CS,,46193.47569,,46215,Synthetic note for record 05764,1322,OP270000791340,,No,1398,45292.59444,QN270000791435,45314.62083,45325.63403,1493,45347,45358,Synthetic note for record 05764,1569,1588,Synthetic Qtr 05764,Synthetic Yr_Qtr 05764
Synthetic Opportunity 00528,AMPLIFIERS,Q-400528,2/12/2024,QL-8000528,Digikey,Customer,Lost,Not Required,Synthetic User 29,Net 30,,Japan,ADP11871,4 weeks,2736,$208.35 ,"$537,213.60 ",Synthetic User 29,Synthetic User 29,Office 9,Distribution,46148,RF,,46181.32847,,46203,Synthetic note for record 00528,3990,OP270000074008,,No,4066,46280.44722,QN270000074103,45302.47361,45313.48681,4161,45335,45346,Synthetic note for record 00528,4237,4256,Synthetic Qtr 00528,Synthetic Yr_Qtr 00528
Synthetic Opportunity 01208,AMPLIFIERS,Q-401208,8/25/2025,QL-8001208,Synthetic Account 9,Distributor,Presented,Approved,Synthetic User 9,Net 45,United States,Japan,ADP11871,12 weeks,5896,$196.35 ,"$1,157,679.60 ",Synthetic User 9,Synthetic User 9,Office 9,Distribution,45708,MW,,45741.02292,,45763,Synthetic note for record 01208,7150,OP270000167168,,,7226,45840.14167,QN270000167263,45862.16806,45873.18125,,45895,45906,Synthetic note for record 01208,7397,2416,Synthetic Qtr 01208,Synthetic Yr_Qtr 01208
Synthetic Opportunity 01988,AMPLIFIERS,Q-401988,5/12/2026,QL-8001988,Synthetic Account 189,Distributor,Presented,Approved,Synthetic User 39,Net 45,United States,Japan,ADP11871,8 weeks,2756,$196.35 ,"$541,140.60 ",Synthetic User 39,Synthetic User 39,Office 9,Distribution,45968,MW,,46001.23125,,46023,Synthetic note for record 01988,4010,OP270000274028,,,4086,46100.35,QN270000274123,46122.37639,46133.38958,,46155,46166,Synthetic note for record 01988,4257,4276,Synthetic Qtr 01988,Synthetic Yr_Qtr 01988
Synthetic Opportunity 02668,AMPLIFIERS,Q-402668,2/26/2025,QL-8002668,Synthetic Account 269,Prospect,Presented,Pending,Synthetic User 19,Prepaid,United States,Japan,ADP11871,16 weeks,5916,$196.35 ,"$1,161,606.60 ",Synthetic User 19,Synthetic User 19,Office 9,Distribution,45528,CS,,45561.92569,,45583,,7170,OP270000367188,,,7246,45660.04444,QN270000367283,45682.07083,,7341,45715,45726,Synthetic note for record 02668,7417,2436,Synthetic Qtr 02668,Synthetic Yr_Qtr 02668
Synthetic Opportunity 03348,AMPLIFIERS,Q-403348,9/9/2026,QL-8003348,Digikey,Distributor,Lost,Not Required,Synthetic User 49,Net 30,United States,Japan,ADP11871,4 weeks,9076,$205.75 ,"$1,782,072.60 ",Synthetic User 49,Synthetic User 49,Office 9,Distribution,46088,RF,,46121.62014,,46143,,330,OP270000460348,,,406,46220.73889,QN270000460443,46242.76528,,,46275,46286,,577,596,Synthetic Qtr 03348,Synthetic Yr_Qtr 03348
Synthetic Opportunity 03448,AMPLIFIERS,Q-403448,11/13/2025,QL-8003448,Synthetic Account 149,Prospect,Presented,Pending,Synthetic User 49,Prepaid,United States,Japan,ADP11871,12 weeks,2776,$196.35 ,"$545,067.60 ",Synthetic User 49,Synthetic User 49,Office 9,Distribution,45788,CS,,45821.13403,,45843,,4030,OP270000474048,,,4106,45920.25278,QN270000474143,45942.27917,,4201,45975,45986,Synthetic note for record 03448,4277,4296,Synthetic Qtr 03448,Synthetic Yr_Qtr 03448
Synthetic Opportunity 04808,AMPLIFIERS,Q-404808,3/13/2026,QL-8004808,Synthetic Account 9,Distributor,Presented,Approved,Synthetic User 9,Net 45,United States,Japan,ADP11871,12 weeks,9096,$196.35 ,"$1,785,999.60 ",Synthetic User 9,Synthetic User 9,Office 9,Distribution,45908,MW,,45941.52292,,45963,Synthetic note for record 04808,350,OP270000660368,,,426,46040.64167,QN270000660463,46062.66806,,,46095,46106,Synthetic note for record 04808,597,616,Synthetic Qtr 04808,Synthetic Yr_Qtr 04808
Synthetic Opportunity 06948,AMPLIFIERS,Q-406948,7/1/2024,QL-8006948,Synthetic Account 49,Customer,Presented,Not Required,Synthetic User 49,Net 30,United States,Japan,ADP11871,8 weeks,2276,$196.35 ,"$446,892.60 ",,Synthetic User 49,Office 9,Distribution,46288,RF,,45321.12014,,45343,Synthetic note for record 06948,3530,OP270000953548,,,3606,45420.23889,QN270000953643,45442.26528,,,45475,45486,Synthetic note for record 06948,3777,3796,Synthetic Qtr 06948,Synthetic Yr_Qtr 06948
Synthetic Opportunity 07048,AMPLIFIERS,Q-407048,6/1/2026,QL-8007048,Synthetic Account 149,Prospect,Presented,Pending,Synthetic User 49,Prepaid,United States,Japan,ADP11871,12 weeks,5976,$196.35 ,"$1,173,387.60 ",Synthetic User 49,Synthetic User 49,,Distribution,45988,CS,,46021.63403,,46043,Synthetic note for record 07048,7230,OP270000967248,,No,7306,46120.75278,QN270000967343,46142.77917,46153.79236,7401,46175,46186,Synthetic note for record 07048,7477,2496,Synthetic Qtr 07048,Synthetic Yr_Qtr 07048
Synthetic Opportunity 07728,AMPLIFIERS,Q-407728,3/18/2025,QL-8007728,Digikey,Distributor,Won,,Synthetic User 29,Net 30,United States,Japan,ADP11871,4 weeks,9136,$196.35 ,"$1,793,853.60 ",Synthetic User 29,Synthetic User 29,Office 9,Distribution,,RF,,,,,Synthetic note for record 07728,390,OP270001060408,,,,,QN270001060503,,,,45735,45746,Synthetic note for record 07728,637,656,Synthetic Qtr 07728,Synthetic Yr_Qtr 07728
Synthetic Opportunity 00352,AMPLIFIERS,Q-400352,2/20/2024,QL-8000352,Synthetic Account 53,Prospect,Presented,Pending,Synthetic User 3,Prepaid,United States,Japan,ADP11871,4 weeks,8624,$194.43 ,"$1,676,764.32 ",Synthetic User 3,Synthetic User 3,Office 3,Distribution,46156,CS,,46189.58403,,46211,Synthetic note for record 00352,9878,OP270000049896,,No,9954,46288.70278,QN270000049991,45310.72917,45321.74236,49,45343,45354,Synthetic note for record 00352,125,144,Synthetic Qtr 00352,Synthetic Yr_Qtr 00352
Synthetic Opportunity 01812,AMPLIFIERS,Q-401812,5/20/2026,QL-8001812,Synthetic Account 13,Customer,Presented,Not Required,Synthetic User 13,Net 30,United States,Japan,ADP11871,8 weeks,8644,$194.43 ,"$1,680,652.92 ",Synthetic User 13,Synthetic User 13,Office 3,Distribution,45976,RF,,46009.48681,,46031,Synthetic note for record 01812,9898,OP270000249916,,,9974,46108.60556,QN270000250011,46130.63194,,,46163,46174,Synthetic note for record 01812,145,164,Synthetic Qtr 01812,Synthetic Yr_Qtr 01812
Synthetic Opportunity 02492,AMPLIFIERS,Q-402492,3/6/2025,QL-8002492,Synthetic Account 93,Distributor,Presented,Approved,Synthetic User 43,Net 45,,Japan,ADP11871,16 weeks,1804,$194.43 ,"$350,751.72 ",Synthetic User 43,Synthetic User 43,Office 3,Distribution,45536,MW,,45569.18125,,45591,,3058,OP270000343076,,,3134,45668.3,QN270000343171,45690.32639,,3229,45723,45734,Synthetic note for record 02492,3305,3324,Synthetic Qtr 02492,Synthetic Yr_Qtr 02492
Synthetic Opportunity 02642,MICROWAVE,Q-402642,9/7/2026,QL-8002642,Synthetic Account 243,Distributor,Accepted,Approved,Synthetic User 43,Net 45,,Canada,ADP11871,6 weeks,2354,$194.43 ,"$457,688.22 ",Synthetic User 43,Synthetic User 43,Office 3,Distribution,46086,MW,,46119.45208,,46141,,3608,OP270000363626,,No,3684,46218.57083,QN270000363721,46240.59722,46251.61042,3779,46273,46284,Synthetic note for record 02642,3855,3874,Synthetic Qtr 02642,Synthetic Yr_Qtr 02642
Synthetic Opportunity 03272,AMPLIFIERS,Q-403272,11/21/2025,QL-8003272,Synthetic Account 273,Distributor,Presented,Approved,Synthetic User 23,Net 45,United States,Japan,ADP11871,12 weeks,8664,$194.43 ,"$1,684,541.52 ",Synthetic User 23,Synthetic User 23,Office 3,Distribution,45796,MW,,45829.38958,,45851,Synthetic note for record 03272,9918,OP270000449936,,No,9994,45928.50833,QN270000450031,45950.53472,45961.54792,89,45983,45994,,165,184,Synthetic Qtr 03272,Synthetic Yr_Qtr 03272
Synthetic Opportunity 03952,AMPLIFIERS,Q-403952,9/7/2024,QL-8003952,Synthetic Account 53,Prospect,Presented,Pending,Synthetic User 3,Prepaid,United States,Japan,ADP11871,4 weeks,1824,$194.43 ,"$354,640.32 ",,Synthetic User 3,Office 3,Distribution,45356,CS,,45389.08403,,45411,Synthetic note for record 03952,3078,OP270000543096,,No,3154,45488.20278,QN270000543191,45510.22917,45521.24236,,45543,45554,Synthetic note for record 03952,3325,3344,Synthetic Qtr 03952,Synthetic Yr_Qtr 03952
Synthetic Opportunity 04632,AMPLIFIERS,Q-404632,3/21/2026,QL-8004632,Synthetic Account 133,Customer,Presented,Not Required,Synthetic User 33,Net 30,United States,Japan,ADP11871,12 weeks,4984,$194.43 ,"$969,039.12 ",Synthetic User 33,Synthetic User 33,Office 3,Distribution,45916,RF,,45949.77847,,45971,,6238,OP270000636256,,,6314,46048.89722,QN270000636351,46070.92361,46081.93681,6409,46103,46114,,6485,1504,Synthetic Qtr 04632,Synthetic Yr_Qtr 04632
Synthetic Opportunity 04732,AMPLIFIERS,Q-404732,5/25/2025,QL-8004732,Synthetic Account 233,Prospect,Presented,Pending,Synthetic User 33,Prepaid,United States,Japan,ADP11871,16 weeks,8684,$194.43 ,"$1,688,430.12 ",Synthetic User 33,Synthetic User 33,Office 3,Distribution,45616,CS,,45649.29236,,45671,Synthetic note for record 04732,9938,OP270000649956,,No,14,45748.41111,QN270000650051,45770.4375,45781.45069,,45803,45814,Synthetic note for record 04732,185,204,Synthetic Qtr 04732,Synthetic Yr_Qtr 04732
Synthetic Opportunity 06092,AMPLIFIERS,Q-406092,9/22/2025,QL-8006092,Synthetic Account 93,Distributor,Presented,Approved,Synthetic User 43,Net 45,United States,Japan,ADP11871,16 weeks,5004,$194.43 ,"$972,927.72 ",Synthetic User 43,Synthetic User 43,Office 3,Distribution,45736,MW,,45769.68125,,45791,Synthetic note for record 06092,6258,OP270000836276,,No,6334,45868.8,QN270000836371,45890.82639,45901.83958,6429,45923,45934,Synthetic note for record 06092,6505,1524,Synthetic Qtr 06092,Synthetic Yr_Qtr 06092
Synthetic Opportunity 06872,AMPLIFIERS,Q-406872,6/9/2026,QL-8006872,Synthetic Account 273,Distributor,Presented,Approved,Synthetic User 23,Net 45,United States,Japan,ADP11871,12 weeks,1864,$194.43 ,"$362,417.52 ",Synthetic User 23,Synthetic User 23,Office 3,Distribution,45996,MW,,46029.88958,,46051,Synthetic note for record 06872,3118,OP270000943136,,No,3194,46128.00833,QN270000943231,46150.03472,46161.04792,3289,46183,46194,Synthetic note for record 06872,3365,3384,Synthetic Qtr 06872,Synthetic Yr_Qtr 06872
Synthetic Opportunity 00176,AMPLIFIERS,Q-400176,2/28/2024,QL-8000176,Synthetic Account 177,Distributor,Presented,Approved,Synthetic User 27,Net 45,United States,Japan,ADP11871,4 weeks,4512,$189.61 ,"$855,520.32 ",Synthetic User 27,Synthetic User 27,Office 7,Distribution,46164,MW,,46197.83958,,46219,Synthetic note for record 00176,5766,OP270000025784,,No,5842,45296.95833,QN270000025879,45318.98472,45329.99792,,45351,45362,Synthetic note for record 00176,6013,1032,Synthetic Qtr 00176,Synthetic Yr_Qtr 00176
Synthetic Opportunity 00276,AMPLIFIERS,Q-400276,1/28/2026,QL-8000276,Synthetic Account 277,Customer,Presented,Not Required,Synthetic User 27,Net 30,,Japan,ADP11871,8 weeks,8212,$189.61 ,"$1,557,077.32 ",Synthetic User 27,Synthetic User 27,,Distribution,45864,RF,,45897.35347,,45919,,9466,OP270000039484,,,,45996.47222,QN270000039579,,,,46051,46062,Synthetic note for record 00276,9713,4732,Synthetic Qtr 00276,Synthetic Yr_Qtr 00276
Synthetic Opportunity 00956,AMPLIFIERS,Q-400956,11/14/2024,QL-8000956,Synthetic Account 57,Distributor,Presented,Approved,Synthetic User 7,Net 45,United States,Japan,ADP11871,16 weeks,1372,$189.61 ,"$260,144.92 ",Synthetic User 7,Synthetic User 7,Office 7,Distribution,45424,MW,,45457.04792,,45479,Synthetic note for record 00956,2626,OP270000132644,,,2702,45556.16667,QN270000132739,45578.19306,45589.20625,,45611,45622,Synthetic note for record 00956,2873,2892,Synthetic Qtr 00956,Synthetic Yr_Qtr 00956
Synthetic Opportunity 02416,AMPLIFIERS,Q-402416,5/18/2024,QL-8002416,Synthetic Account 17,Prospect,Presented,Pending,Synthetic User 17,Prepaid,United States,Japan,ADP11871,4 weeks,1392,$189.61 ,"$263,937.12 ",Synthetic User 17,Synthetic User 17,Office 7,Distribution,46244,CS,,46277.95069,,45299,Synthetic note for record 02416,2646,OP270000332664,,No,2722,45376.06944,QN270000332759,45398.09583,45409.10903,,45431,45442,Synthetic note for record 02416,2893,2912,Synthetic Qtr 02416,Synthetic Yr_Qtr 02416
Synthetic Opportunity 02641,RF,Q-402641,8/21/2026,QL-8002641,Synthetic Account 242,Prospect,Draft,Pending,Synthetic User 42,Prepaid,,United States,ADP11871,5 weeks,2217,$189.61 ,"$420,365.37 ",Synthetic User 42,Synthetic User 42,Office 2,Direct,46069,CS,,46102.35694,,46124,,3471,OP270000363489,,Yes,3547,46201.47569,QN270000363584,46223.50208,46234.51528,3642,46256,46267,Synthetic note for record 02641,3718,3737,Synthetic Qtr 02641,Synthetic Yr_Qtr 02641
Synthetic Opportunity 03776,AMPLIFIERS,Q-403776,9/15/2024,QL-8003776,Synthetic Account 177,Distributor,Presented,Approved,Synthetic User 27,Net 45,United States,Japan,ADP11871,4 weeks,7712,$189.61 ,"$1,462,272.32 ",Synthetic User 27,Synthetic User 27,Office 7,Distribution,45364,MW,,45397.33958,,45419,Synthetic note for record 03776,8966,OP270000518984,,,,45496.45833,QN270000519079,45518.48472,,9137,45551,45562,Synthetic note for record 03776,9213,4232,Synthetic Qtr 03776,Synthetic Yr_Qtr 03776
Synthetic Opportunity 05916,AMPLIFIERS,Q-405916,9/30/2025,QL-8005916,Synthetic Account 217,Customer,Presented,Not Required,Synthetic User 17,Net 30,United States,Japan,ADP11871,16 weeks,892,$189.61 ,"$169,132.12 ",Synthetic User 17,Synthetic User 17,Office 7,Distribution,45744,RF,,45777.93681,,45799,Synthetic note for record 05916,2146,OP270000812164,,,2222,45876.05556,QN270000812259,45898.08194,45909.09514,2317,45931,45942,Synthetic note for record 05916,2393,2412,Synthetic Qtr 05916,Synthetic Yr_Qtr 05916
Synthetic Opportunity 06696,AMPLIFIERS,Q-406696,6/17/2026,QL-8006696,Synthetic Account 97,Customer,Presented,Not Required,Synthetic User 47,Net 30,United States,Japan,ADP11871,12 weeks,7752,$189.61 ,"$1,469,856.72 ",Synthetic User 47,Synthetic User 47,Office 7,Distribution,46004,RF,,46037.14514,,46059,Synthetic note for record 06696,9006,OP270000919024,,,9082,46136.26389,QN270000919119,46158.29028,46169.30347,9177,46191,46202,Synthetic note for record 06696,9253,4272,Synthetic Qtr 06696,Synthetic Yr_Qtr 06696
Synthetic Opportunity 07476,AMPLIFIERS,Q-407476,6/7/2024,QL-8007476,Synthetic Account 277,Customer,Presented,Not Required,Synthetic User 27,Net 30,United States,Japan,ADP11871,8 weeks,4612,$189.61 ,"$874,481.32 ",Synthetic User 27,Synthetic User 27,Office 7,Distribution,46264,RF,,45297.35347,,45319,Synthetic note for record 07476,5866,OP270001025884,,No,5942,45396.47222,QN270001025979,45418.49861,45429.51181,6037,45451,45462,Synthetic note for record 07476,6113,1132,Synthetic Qtr 07476,Synthetic Yr_Qtr 07476
Synthetic Opportunity 00100,AMPLIFIERS,Q-400100,2/5/2026,QL-8000100,Synthetic Account 101,Prospect,Presented,Pending,Synthetic User 1,Prepaid,United States,Japan,ADP11871,8 weeks,4100,$186.73 ,"$765,593.00 ",Synthetic User 1,Synthetic User 1,Office 1,Distribution,45872,CS,,45905.60903,,45927,,5354,OP270000015372,,No,5430,46004.72778,QN270000015467,46026.75417,46037.76736,5525,46059,46070,Synthetic note for record 00100,5601,620,Synthetic Qtr 00100,Synthetic Yr_Qtr 00100
Synthetic Opportunity 00780,AMPLIFIERS,Q-400780,11/22/2024,QL-8000780,Synthetic Account 181,Customer,Presented,Not Required,Synthetic User 31,Net 30,United States,Japan,ADP11871,16 weeks,7260,$186.73 ,"$1,355,659.80 ",,Synthetic User 31,Office 1,Distribution,45432,RF,,45465.30347,,45487,Synthetic note for record 00780,8514,OP270000108532,,No,8590,45564.42222,QN270000108627,45586.44861,45597.46181,,45619,45630,Synthetic note for record 00780,8761,3780,Synthetic Qtr 00780,Synthetic Yr_Qtr 00780
Synthetic Opportunity 01460,AMPLIFIERS,Q-401460,6/5/2026,QL-8001460,Synthetic Account 261,Distributor,Presented,Approved,Synthetic User 11,Net 45,United States,Japan,ADP11871,8 weeks,420,$186.73 ,"$78,426.60 ",Synthetic User 11,Synthetic User 11,Office 1,Distribution,45992,MW,,46025.99792,,46047,Synthetic note for record 01460,1674,OP270000201692,,,1750,46124.11667,QN270000201787,46146.14306,46157.15625,,46179,46190,Synthetic note for record 01460,1921,1940,Synthetic Qtr 01460,Synthetic Yr_Qtr 01460
Synthetic Opportunity 01560,AMPLIFIERS,Q-401560,8/9/2025,QL-8001560,Synthetic Account 61,Customer,Presented,Not Required,Synthetic User 11,Net 30,United States,Japan,ADP11871,12 weeks,4120,$186.73 ,"$769,327.60 ",Synthetic User 11,Synthetic User 11,Office 1,Distribution,45692,RF,,45725.51181,,45747,Synthetic note for record 01560,5374,OP270000215392,,,5450,45824.63056,QN270000215487,45846.65694,,,45879,45890,Synthetic note for record 01560,5621,640,Synthetic Qtr 01560,Synthetic Yr_Qtr 01560
Synthetic Opportunity 02240,AMPLIFIERS,Q-402240,5/26/2024,QL-8002240,Synthetic Account 141,Distributor,Presented,Approved,Synthetic User 41,Net 45,United States,Japan,ADP11871,4 weeks,7280,$186.73 ,"$1,359,394.40 ",Synthetic User 41,Synthetic User 41,Office 1,Distribution,46252,MW,,46285.20625,,45307,Synthetic note for record 02240,8534,OP270000308552,,No,8610,45384.325,QN270000308647,45406.35139,45417.36458,,45439,45450,Synthetic note for record 02240,8781,3800,Synthetic Qtr 02240,Synthetic Yr_Qtr 02240
Synthetic Opportunity 03020,AMPLIFIERS,Q-403020,2/10/2025,QL-8003020,Synthetic Account 21,Distributor,Presented,Approved,Synthetic User 21,Net 45,,Japan,ADP11871,16 weeks,4140,$186.73 ,"$773,062.20 ",Synthetic User 21,Synthetic User 21,Office 1,Distribution,45512,MW,,45545.41458,,45567,,5394,OP270000415412,,,5470,45644.53333,QN270000415507,45666.55972,45677.57292,,45699,45710,Synthetic note for record 03020,5641,660,Synthetic Qtr 03020,Synthetic Yr_Qtr 03020
Synthetic Opportunity 04380,AMPLIFIERS,Q-404380,6/10/2025,QL-8004380,Synthetic Account 181,Customer,Presented,Not Required,Synthetic User 31,Net 30,,Japan,ADP11871,16 weeks,460,$186.73 ,"$85,895.80 ",Synthetic User 31,Synthetic User 31,Office 1,Distribution,45632,RF,,45665.80347,,45687,,1714,OP270000601732,,,1790,45764.92222,QN270000601827,45786.94861,,,45819,45830,Synthetic note for record 04380,1961,1980,Synthetic Qtr 04380,Synthetic Yr_Qtr 04380
